PLAYER_ID,PLAYER_NAME,GP,MIN,MIN_TOT,PTS,PTS_TOT,REB,REB_TOT,AST,AST_TOT,STL,STL_TOT,BLK,BLK_TOT,FG_PCT,FG3_PCT,USG_PCT,IS_CASSPI
201943,Brandon Jennings,48,18.1,867.505,6.9,332,2.0,96,3.5,170,0.6,29,0.1,7,0.368,0.329,0.192,False
202688,Brandon Knight,52,36.0,1870.3866666666668,19.6,1018,3.9,202,5.1,263,1.2,61,0.4,20,0.415,0.342,0.258,False
201575,Brandon Rush,72,14.6,1054.7416666666666,4.2,305,2.5,181,0.8,57,0.3,20,0.3,23,0.427,0.414,0.125,False
203148,Brian Roberts,51,9.2,470.14666666666665,4.0,205,0.8,41,1.1,54,0.2,10,0.0,2,0.448,0.357,0.188,False
1627362,Briante Weber,7,24.1,168.655,4.4,31,3.6,25,3.0,21,1.3,9,0.4,3,0.359,0.0,0.117,False
201572,Brook Lopez,73,33.7,2456.548333333333,20.6,1501,7.8,573,2.0,146,0.8,58,1.7,124,0.511,0.143,0.272,False
203998,Bruno Caboclo,6,7.1,42.68333333333333,0.5,3,0.3,2,0.2,1,0.3,2,0.2,1,0.083,0.143,0.152,False
203955,Bryce Cotton,8,4.8,38.75833333333333,1.0,8,0.0,0,0.4,3,0.4,3,0.0,0,0.4,0.0,0.17,False
1626214,Bryce Dejean-Jones,14,19.9,278.5566666666667,5.6,79,3.4,48,1.1,15,0.7,10,0.1,2,0.406,0.375,0.14,False
201228,C.J. Watson,33,19.9,655.7033333333334,4.3,142,2.0,66,2.7,88,0.6,19,0.2,5,0.343,0.292,0.117,False
203912,C.J. Wilcox,23,7.3,166.81833333333333,3.0,70,0.5,12,0.4,10,0.4,10,0.1,2,0.394,0.391,0.19,False
203468,CJ McCollum,80,34.7,2779.7616666666668,20.8,1666,3.2,259,4.3,341,1.2,97,0.3,23,0.448,0.417,0.266,False
101139,CJ Miles,64,22.9,1463.6066666666666,11.8,753,2.7,175,1.0,63,0.8,53,0.5,29,0.409,0.367,0.221,False
203946,Cameron Bairstow,18,5.7,102.6,1.9,34,1.6,28,0.3,6,0.1,2,0.2,3,0.325,0.2,0.196,False
1626166,Cameron Payne,57,12.2,697.6133333333333,5.0,283,1.5,85,1.9,108,0.6,36,0.1,6,0.41,0.324,0.199,False
201171,Carl Landry,36,15.8,569.39,9.8,351,4.1,146,0.9,32,0.3,12,0.3,9,0.556,0.462,0.236,False
