PLAYER_ID,PLAYER_NAME,GP,MIN,MIN_TOT,PTS,PTS_TOT,REB,REB_TOT,AST,AST_TOT,STL,STL_TOT,BLK,BLK_TOT,FG_PCT,FG3_PCT,USG_PCT,IS_LEBRON
201577,Robin Lopez,60,10.2,614.3333333333334,3.2,189,2.0,118,0.1,8,0.2,11,0.7,41,0.518,0.0,0.136,False
200760,Rodney Carney,67,17.9,1198.75,7.2,481,1.9,126,0.4,26,0.7,45,0.4,29,0.416,0.35,0.182,False
201155,Rodney Stuckey,79,31.9,2516.585,13.4,1058,3.5,275,4.9,387,1.0,78,0.1,11,0.439,0.295,0.227,False
2427,Roger Mason Jr.,82,30.4,2496.0783333333334,11.8,969,3.1,251,2.1,173,0.5,40,0.1,12,0.425,0.421,0.183,False
101146,Roko Ukic,72,12.4,889.535,4.2,301,1.0,75,2.1,153,0.4,30,0.0,2,0.38,0.177,0.201,False
200758,Ronnie Brewer,81,32.2,2604.6783333333333,13.7,1111,3.7,300,2.2,179,1.7,138,0.4,30,0.508,0.259,0.184,False
101179,Ronnie Price,52,14.2,737.9083333333333,4.0,207,1.3,69,2.1,108,0.8,39,0.1,5,0.379,0.311,0.173,False
101142,Ronny Turiaf,79,21.5,1695.6833333333334,5.9,470,4.6,360,2.1,166,0.4,34,2.1,168,0.508,0.0,0.125,False
201579,Roy Hibbert,70,14.4,1009.1016666666667,7.1,494,3.5,243,0.7,49,0.3,20,1.1,76,0.471,0.0,0.228,False
2767,Royal Ivey,71,12.1,860.7416666666667,3.0,211,1.1,76,0.6,43,0.5,36,0.1,7,0.332,0.342,0.127,False
201164,Rudy Fernandez,78,25.6,1992.945,10.4,815,2.7,207,2.0,159,0.9,69,0.2,12,0.425,0.399,0.177,False
200752,Rudy Gay,79,37.3,2945.451666666667,18.9,1493,5.5,437,1.7,135,1.2,98,0.7,59,0.453,0.351,0.253,False
201566,Russell Westbrook,82,32.5,2668.035,15.3,1256,4.9,399,5.3,435,1.3,110,0.2,16,0.398,0.271,0.253,False
201583,Ryan Anderson,66,19.9,1312.425,7.4,487,4.7,311,0.8,52,0.7,44,0.3,20,0.393,0.365,0.181,False
1763,Ryan Bowen,21,10.4,218.99833333333333,2.2,47,1.1,24,0.4,9,0.7,14,0.2,5,0.579,0.0,0.096,False
101155,Ryan Gomes,82,31.9,2613.665,13.3,1092,4.8,392,1.6,135,0.8,63,0.3,22,0.431,0.372,0.202,False
200797,Ryan Hollins,45,9.9,444.37166666666667,3.2,143,2.2,97,0.2,7,0.2,7,0.7,32,0.532,0.0,0.154,False
2223,Samuel Dalembert,82,24.8,2036.0983333333334,6.4,523,8.5,701,0.2,18,0.4,33,1.8,146,0.498,0.0,0.136,False
2562,Sasha Pavlovic,66,16.0,1052.9933333333333,4.6,305,1.9,127,1.1,72,0.3,22,0.2,16,0.422,0.41,0.151,False
2756,Sasha Vujacic,80,16.2,1292.475,5.8,461,1.7,135,1.4,113,1.0,77,0.1,7,0.387,0.363,0.153,False
1752,Sean Marks,60,14.0,837.87,3.2,192,3.1,187,0.2,14,0.1,7,0.6,33,0.485,0.2,0.123,False
101118,Sean May,24,12.5,300.93333333333334,3.9,93,2.9,69,0.4,10,0.2,5,0.2,4,0.398,1.0,0.209,False
201606,Sean Singletary,37,8.2,302.9716666666667,2.4,90,0.9,35,0.8,29,0.3,11,0.0,0,0.365,0.4,0.176,False
201157,Sean Williams,33,11.1,366.38666666666666,2.4,80,2.4,79,0.4,13,0.2,7,0.9,29,0.417,0.0,0.133,False
2742,Sebastian Telfair,75,27.9,2094.4983333333334,9.8,738,1.7,127,4.6,343,1.0,73,0.2,12,0.383,0.346,0.193,False
200771,Sergio Rodriguez,80,15.3,1224.99,4.5,356,1.6,130,3.6,286,0.7,54,0.0,2,0.392,0.325,0.18,False
2203,Shane Battier,60,33.9,2031.1966666666667,7.3,436,4.8,285,2.3,137,0.8,48,0.9,54,0.41,0.384,0.098,False
200769,Shannon Brown,48,9.9,477.37166666666667,4.2,202,0.9,44,0.8,38,0.5,22,0.1,7,0.473,0.378,0.204,False
406,Shaquille O'Neal,75,30.0,2252.115,17.8,1333,8.4,633,1.7,126,0.7,49,1.4,108,0.609,0.0,0.243,False
2733,Shaun Livingston,12,19.3,231.31166666666667,5.9,71,2.3,28,1.7,20,0.6,7,0.2,2,0.517,0.0,0.145,False
101183,Shavlik Randolph,10,3.7,37.038333333333334,1.8,18,1.8,18,0.0,0,0.0,0,0.1,1,0.615,1.0,0.221,False
1890,Shawn Marion,69,35.8,2470.5383333333334,12.9,891,8.5,589,2.0,139,1.3,88,1.0,66,0.485,0.189,0.173,False
200761,Shawne Williams,15,11.3,169.65833333333333,2.8,42,3.1,46,0.1,2,0.1,2,0.6,9,0.286,0.059,0.169,False
200749,Shelden Williams,45,11.4,512.625,4.1,186,3.4,153,0.3,12,0.5,22,0.4,18,0.446,0.0,0.182,False
200780,Solomon Jones,63,10.7,675.3083333333333,3.0,188,2.3,142,0.2,15,0.1,7,0.5,34,0.604,0.5,0.112,False
201603,Sonny Weems,12,4.6,55.03333333333333,1.6,19,0.3,4,0.3,3,0.1,1,0.0,0,0.32,0.0,0.255,False
2049,Speedy Claxton,2,7.5,15.083333333333334,2.5,5,0.0,0,1.5,3,0.0,0,0.0,0,0.286,0.0,0.242,False
201150,Spencer Hawes,77,29.3,2258.8966666666665,11.4,876,7.1,549,1.9,149,0.6,44,1.2,93,0.466,0.348,0.201,False
101211,Stephen Graham,52,13.2,684.0933333333334,5.4,282,1.8,96,0.6,33,0.2,10,0.1,4,0.414,0.303,0.205,False
1536,Stephen Jackson,59,39.6,2339.0583333333334,20.7,1223,5.1,303,6.5,381,1.5,88,0.5,31,0.414,0.338,0.253,False
950,Stephon Marbury,23,18.0,414.0133333333333,3.8,88,1.2,28,3.3,75,0.4,10,0.1,3,0.342,0.24,0.169,False
2581,Steve Blake,69,31.7,2188.028333333333,11.0,757,2.5,173,5.0,348,1.0,69,0.1,4,0.428,0.427,0.166,False
959,Steve Nash,74,33.6,2483.983333333333,15.7,1160,3.0,223,9.7,717,0.7,55,0.1,10,0.503,0.439,0.207,False
